win,time,score,algo
0,34.13865303993225,210,minimax
0,21.27257001399994,260,minimax
0,32.50171995162964,250,minimax
0,27.737313985824585,280,minimax
0,15.964473962783813,120,minimax
0,16.29773998260498,230,minimax
0,54.455031991004944,810,minimax
0,16.585620045661926,140,minimax
0,14.491087079048157,170,minimax
0,6.520269989967346,10,minimax
0,13.119670987129211,150,expectimax
0,3.225209951400757,40,expectimax
0,4.924608945846558,40,expectimax
0,4.594828963279724,40,expectimax
0,1.0126930475234985,10,expectimax
0,10.543835997581482,70,expectimax
0,15.419672966003418,90,expectimax
0,4.880527019500732,40,expectimax
0,9.395662069320679,90,expectimax
0,8.077582955360413,80,expectimax
